total_impulse,total_abs_impulse,impact_impulse,impact_abs_impulse,peak_force,peak_force_positive,peak_force_negative,rms_force,impact_duration,impact_start_time,impact_end_time,total_duration,equivalent_velocity,equivalent_kinetic_energy,mass_kg,impact_start_idx,impact_end_idx,sampling_rate_hz,analysis_method,material_code,mass_breakdown,filename,material_type,sample_number,force_columns_used,baseline_correction,line_mass_included,line_mass_fraction,kinetic_energy,initial_velocity,max_force
-7368.528681274387,9801.994175848306,-1064.7778333992774,1910.2610899938168,47416.374755685225,47416.374755685225,-9777.570788320558,228.14715655316274,0.7611000000252659,50.08325,50.8443,282.62235,76629.23159417506,282322345.4128482,0.0961581961345741,1001665,1016886,19999.99999933607,impulse_integration,SL,"{'material_code': 'SL', 'config_weight_kg': 0.069, 'line_mass_total_kg': 0.03879742304939156, 'line_mass_fraction': 0.7, 'line_mass_effective_kg': 0.02715819613457409, 'total_system_mass_kg': 0.0961581961345741, 'line_info': {'linear_density_g_per_m': 3.879742304939156, 'linear_density_kg_per_m': 0.003879742304939156, 'active_line_mass_g': 38.79742304939156, 'active_line_mass_kg': 0.03879742304939156, 'active_length_m': 10.0}}",SL-21-9.csv,SL,21-9,"AI 1/AI 1 (lbf), AI 2/AI 2 (lbf), AI 3/AI 3 (lbf), AI 4/AI 4 (lbf)",True,True,0.7,282322345.4128482,76629.23159417506,47416.374755685225
390.38272717206183,1069.997070446564,341.47252615285294,346.2704236071336,32328.27681515055,32328.27681515055,-26358.98390198775,158.82003992417577,0.14055000000466578,95.7047,95.8452,118.91995,5410.095430379152,1056003.9041862616,0.07215819613457408,1914094,1916904,19999.99999933607,impulse_integration,BR,"{'material_code': 'BR', 'config_weight_kg': 0.045, 'line_mass_total_kg': 0.03879742304939156, 'line_mass_fraction': 0.7, 'line_mass_effective_kg': 0.02715819613457409, 'total_system_mass_kg': 0.07215819613457408, 'line_info': {'linear_density_g_per_m': 3.879742304939156, 'linear_density_kg_per_m': 0.003879742304939156, 'active_line_mass_g': 38.79742304939156, 'active_line_mass_kg': 0.03879742304939156, 'active_length_m': 10.0}}",BR-21-10.csv,BR,21-10,"AI 3/AI 3 (lbf), AI 1/AI 1 (lbf), AI 4/AI 4 (lbf), AI 2/AI 2 (lbf)",True,True,0.7,1056003.9041862616,5410.095430379152,32328.27681515055
-1025.972636165318,4853.951087211541,-1411.518088587602,2751.5954237279957,36240.15206067431,36240.15206067431,-27645.470187677987,459.7758889817314,0.5744500000190698,53.3589,53.9333,118.35435,10669.632724073377,5473375.606416653,0.0961581961345741,1067178,1078666,19999.99999933607,impulse_integration,SL,"{'material_code': 'SL', 'config_weight_kg': 0.069, 'line_mass_total_kg': 0.03879742304939156, 'line_mass_fraction': 0.7, 'line_mass_effective_kg': 0.02715819613457409, 'total_system_mass_kg': 0.0961581961345741, 'line_info': {'linear_density_g_per_m': 3.879742304939156, 'linear_density_kg_per_m': 0.003879742304939156, 'active_line_mass_g': 38.79742304939156, 'active_line_mass_kg': 0.03879742304939156, 'active_length_m': 10.0}}",SL-21-8.csv,SL,21-8,"AI 1/AI 1 (lbf), AI 2/AI 2 (lbf), AI 3/AI 3 (lbf), AI 4/AI 4 (lbf)",True,True,0.7,5473375.606416653,10669.632724073377,36240.15206067431
-2777.212535543876,6756.967014394202,-2537.694259484646,6237.391365664327,104000.96950155347,104000.96950155347,-27774.92682291003,942.0022249975009,0.7321500000243049,40.17455,40.90665,120.86355,38487.83207335742,53444444.850017935,0.07215819613457408,803491,818133,19999.99999933607,impulse_integration,STND,"{'material_code': 'STND', 'config_weight_kg': 0.045, 'line_mass_total_kg': 0.03879742304939156, 'line_mass_fraction': 0.7, 'line_mass_effective_kg': 0.02715819613457409, 'total_system_mass_kg': 0.07215819613457408, 'line_info': {'linear_density_g_per_m': 3.879742304939156, 'linear_density_kg_per_m': 0.003879742304939156, 'active_line_mass_g': 38.79742304939156, 'active_line_mass_kg': 0.03879742304939156, 'active_length_m': 10.0}}",STND-21-9.csv,STND,21-9,"AI 1/AI 1 (lbf), AI 2/AI 2 (lbf), AI 3/AI 3 (lbf), AI 4/AI 4 (lbf)",True,True,0.7,53444444.850017935,38487.83207335742,104000.96950155347
-3111.6816185046646,7023.257371831336,-1518.0044905758123,4869.499372677002,85879.04588173988,85879.04588173988,-24703.2562631907,764.2475334484695,0.750800000024924,44.7269,45.47765,131.18475,43123.051644769774,67092603.56842873,0.07215819613457408,894538,909553,19999.99999933607,impulse_integration,STND,"{'material_code': 'STND', 'config_weight_kg': 0.045, 'line_mass_total_kg': 0.03879742304939156, 'line_mass_fraction': 0.7, 'line_mass_effective_kg': 0.02715819613457409, 'total_system_mass_kg': 0.07215819613457408, 'line_info': {'linear_density_g_per_m': 3.879742304939156, 'linear_density_kg_per_m': 0.003879742304939156, 'active_line_mass_g': 38.79742304939156, 'active_line_mass_kg': 0.03879742304939156, 'active_length_m': 10.0}}",STND-21-8.csv,STND,21-8,"AI 1/AI 1 (lbf), AI 2/AI 2 (lbf), AI 3/AI 3 (lbf), AI 4/AI 4 (lbf)",True,True,0.7,67092603.56842873,43123.051644769774,85879.04588173988
119.63671753270506,797.7423904035371,291.7467688110514,291.9533780043206,47018.92229814376,47018.92229814376,-1650.9961031282319,228.8116138849885,0.06940000000230384,52.3682,52.43755,73.94715,1657.9782192667922,99177.53594689927,0.07215819613457408,1047364,1048751,19999.99999933607,impulse_integration,BR,"{'material_code': 'BR', 'config_weight_kg': 0.045, 'line_mass_total_kg': 0.03879742304939156, 'line_mass_fraction': 0.7, 'line_mass_effective_kg': 0.02715819613457409, 'total_system_mass_kg': 0.07215819613457408, 'line_info': {'linear_density_g_per_m': 3.879742304939156, 'linear_density_kg_per_m': 0.003879742304939156, 'active_line_mass_g': 38.79742304939156, 'active_line_mass_kg': 0.03879742304939156, 'active_length_m': 10.0}}",BR-21-3.csv,BR,21-3,"AI 3/AI 3 (lbf), AI 1/AI 1 (lbf), AI 4/AI 4 (lbf), AI 2/AI 2 (lbf)",True,True,0.7,99177.53594689927,1657.9782192667922,47018.92229814376
15.184400549995075,2908.9867428201933,-579.4461471072323,1489.6014509018635,49009.84696447541,49009.84696447541,-6716.65367161439,228.697465068707,0.6146000000204026,89.30645,89.921,177.68355,153.13308573491324,1162.6170556278298,0.09915819613457408,1786129,1798420,19999.99999933607,impulse_integration,DS,"{'material_code': 'DS', 'config_weight_kg': 0.072, 'line_mass_total_kg': 0.03879742304939156, 'line_mass_fraction': 0.7, 'line_mass_effective_kg': 0.02715819613457409, 'total_system_mass_kg': 0.09915819613457408, 'line_info': {'linear_density_g_per_m': 3.879742304939156, 'linear_density_kg_per_m': 0.003879742304939156, 'active_line_mass_g': 38.79742304939156, 'active_line_mass_kg': 0.03879742304939156, 'active_length_m': 10.0}}",DS-21-4.csv,DS,21-4,"AI 1/AI 1 (lbf), AI 2/AI 2 (lbf), AI 3/AI 3 (lbf), AI 4/AI 4 (lbf)",True,True,0.7,1162.6170556278298,153.13308573491324,49009.84696447541
1610.9906684733432,3378.1432237843,-299.17272854000487,1266.964933219641,46703.7374924135,46703.7374924135,-4452.825124671458,228.8182077527832,0.7565000000251132,50.2304,50.98685,141.95435,16246.671795914504,13086618.32848366,0.09915819613457408,1004608,1019737,19999.99999933607,impulse_integration,DS,"{'material_code': 'DS', 'config_weight_kg': 0.072, 'line_mass_total_kg': 0.03879742304939156, 'line_mass_fraction': 0.7, 'line_mass_effective_kg': 0.02715819613457409, 'total_system_mass_kg': 0.09915819613457408, 'line_info': {'linear_density_g_per_m': 3.879742304939156, 'linear_density_kg_per_m': 0.003879742304939156, 'active_line_mass_g': 38.79742304939156, 'active_line_mass_kg': 0.03879742304939156, 'active_length_m': 10.0}}",DS-21-5.csv,DS,21-5,"AI 1/AI 1 (lbf), AI 2/AI 2 (lbf), AI 3/AI 3 (lbf), AI 4/AI 4 (lbf)",True,True,0.7,13086618.32848366,16246.671795914504,46703.7374924135
334.9663330837212,2030.9515583246148,475.13023632278794,1636.8425169610955,66829.43637065224,66829.43637065224,-30487.149903061145,399.0233018664011,0.5286500000175494,41.99345,42.52205,119.75395,3843.1994687742977,643671.2166823159,0.0871581961345741,839869,850441,19999.99999933607,impulse_integration,DF,"{'material_code': 'DF', 'config_weight_kg': 0.06, 'line_mass_total_kg': 0.03879742304939156, 'line_mass_fraction': 0.7, 'line_mass_effective_kg': 0.02715819613457409, 'total_system_mass_kg': 0.0871581961345741, 'line_info': {'linear_density_g_per_m': 3.879742304939156, 'linear_density_kg_per_m': 0.003879742304939156, 'active_line_mass_g': 38.79742304939156, 'active_line_mass_kg': 0.03879742304939156, 'active_length_m': 10.0}}",DF-21-2.csv,DF,21-2,"AI 1/AI 1 (lbf), AI 2/AI 2 (lbf), AI 3/AI 3 (lbf), AI 4/AI 4 (lbf)",True,True,0.7,643671.2166823159,3843.1994687742977,66829.43637065224
38.34362310986556,513.699705292069,151.12989820299111,151.1884011625454,20254.366288759677,20254.366288759677,-884.2198058042827,143.05741615348447,0.06860000000014477,31.68135,31.7499,52.91815,531.3827834381449,10187.57058761177,0.07215819613457408,633627,634998,19999.999999957792,impulse_integration,BR,"{'material_code': 'BR', 'config_weight_kg': 0.045, 'line_mass_total_kg': 0.03879742304939156, 'line_mass_fraction': 0.7, 'line_mass_effective_kg': 0.02715819613457409, 'total_system_mass_kg': 0.07215819613457408, 'line_info': {'linear_density_g_per_m': 3.879742304939156, 'linear_density_kg_per_m': 0.003879742304939156, 'active_line_mass_g': 38.79742304939156, 'active_line_mass_kg': 0.03879742304939156, 'active_length_m': 10.0}}",BR-21-2.csv,BR,21-2,"AI 3/AI 3 (lbf), AI 1/AI 1 (lbf), AI 4/AI 4 (lbf), AI 2/AI 2 (lbf)",True,True,0.7,10187.57058761177,531.3827834381449,20254.366288759677
